uuid_character,character_name,appearance,figure_collection_name,accessory_count,exclusive,joint_count,msrp,released,scale_inches,variations recorded,year_imprinted,currency,appearance_type,appearance_name,appearance_year,appearance_link,character_detail_link
dd4cb705dd57cdd79deaddb4e70b2368,Commander Cody,Revenge Of The Sith,Republic 5-Pack,1.0,No,5.0,29.99,2020.0,3.75,No,2013.0,USD,MOVIES,Revenge Of The Sith,(2005),https://galacticfigures.com/star-wars-figures.aspx?type=appearance&typeName=rots,https://galacticfigures.com/figureDetails.aspx?id=26019
6c912e4ee7522fc950223b82a5be8409,Commander Cody,Revenge Of The Sith,,2.0,No,23.0,19.99,2021.0,6.0,No,,USD,MOVIES,Revenge Of The Sith,(2005),https://galacticfigures.com/star-wars-figures.aspx?type=appearance&typeName=rots,https://galacticfigures.com/figureDetails.aspx?id=25936
9b3b443f86cefecc783238e11d7da1ec,Commander Cody,Revenge Of The Sith,Revenge Of The Sith,2.0,No,23.0,19.99,2015.0,6.0,No,2015.0,USD,MOVIES,Revenge Of The Sith,(2005),https://galacticfigures.com/star-wars-figures.aspx?type=appearance&typeName=rots,https://galacticfigures.com/figureDetails.aspx?id=3401
4c2a466c9a3c4b3cffdbb3c17dfac012,Commander Cody,Revenge Of The Sith,Revenge Of The Sith,2.0,No,5.0,,2014.0,3.75,No,2013.0,,MOVIES,Revenge Of The Sith,(2005),https://galacticfigures.com/star-wars-figures.aspx?type=appearance&typeName=rots,https://galacticfigures.com/figureDetails.aspx?id=2129
5c831a38cda69ea8c755d568f749886b,Commander Cody,Revenge Of The Sith,Revenge Of The Sith Set #1,3.0,No,5.0,,2015.0,3.75,No,2013.0,,MOVIES,Revenge Of The Sith,(2005),https://galacticfigures.com/star-wars-figures.aspx?type=appearance&typeName=rots,https://galacticfigures.com/figureDetails.aspx?id=3503
20f84723a399f3f6dff949dbae1026ba,Commander Cody,Revenge Of The Sith,Battle Of Utapau,5.0,No,12.0,6.99,2006.0,3.75,No,2005.0,USD,MOVIES,Revenge Of The Sith,(2005),https://galacticfigures.com/star-wars-figures.aspx?type=appearance&typeName=rots,https://galacticfigures.com/figureDetails.aspx?id=1846
3c48823aae1110f61ca013a89939d69f,Commander Cody,Revenge Of The Sith,Revenge Of The Sith,5.0,No,14.0,7.99,2010.0,3.75,No,2008.0,USD,MOVIES,Revenge Of The Sith,(2005),https://galacticfigures.com/star-wars-figures.aspx?type=appearance&typeName=rots,https://galacticfigures.com/figureDetails.aspx?id=528
bc010eaa843b14c5a7b4b0fe1d8d26d0,Commander Cody,Revenge Of The Sith,Holographic,5.0,No,12.0,6.99,2006.0,3.75,No,2005.0,USD,MOVIES,Revenge Of The Sith,(2005),https://galacticfigures.com/star-wars-figures.aspx?type=appearance&typeName=rots,https://galacticfigures.com/figureDetails.aspx?id=705
d9957d9b78cbae39daee4e73a2c74682,Commander Cody,Revenge Of The Sith,Revenge Of The Sith,5.0,No,14.0,,2009.0,3.75,No,2009.0,,MOVIES,Revenge Of The Sith,(2005),https://galacticfigures.com/star-wars-figures.aspx?type=appearance&typeName=rots,https://galacticfigures.com/figureDetails.aspx?id=335
db26fa2e421590ddd9bee0eb1af2ca98,Commander Gree,Revenge Of The Sith,Revenge Of The Sith,4.0,No,14.0,7.99,2011.0,3.75,No,2008.0,USD,MOVIES,Revenge Of The Sith,(2005),https://galacticfigures.com/star-wars-figures.aspx?type=appearance&typeName=rots,https://galacticfigures.com/figureDetails.aspx?id=679
87ea77f89551c8d256cbb6ec59d5a758,Commander Gree,Revenge Of The Sith,Battle Gear!,3.0,No,14.0,,2005.0,3.75,No,2004.0,,MOVIES,Revenge Of The Sith,(2005),https://galacticfigures.com/star-wars-figures.aspx?type=appearance&typeName=rots,https://galacticfigures.com/figureDetails.aspx?id=1598
a6b29085962f8b425b80077fe0144867,Commander Gree,Revenge Of The Sith,Battle Gear!,3.0,No,14.0,,2005.0,3.75,No,2004.0,,MOVIES,Revenge Of The Sith,(2005),https://galacticfigures.com/star-wars-figures.aspx?type=appearance&typeName=rots,https://galacticfigures.com/figureDetails.aspx?id=1599
a79035300d672e2ac380c0018f6b7652,Commander Gree,Revenge Of The Sith,Revenge Of The Sith,5.0,No,14.0,,2008.0,3.75,No,2008.0,,MOVIES,Revenge Of The Sith,(2005),https://galacticfigures.com/star-wars-figures.aspx?type=appearance&typeName=rots,https://galacticfigures.com/figureDetails.aspx?id=1711
1391eeb14f965eb89427d7b1cf4aa575,Commander Gree,Revenge Of The Sith,Revenge Of The Sith,4.0,Toys'R'Us,19.0,24.99,2017.0,6.0,No,,USD,MOVIES,Revenge Of The Sith,(2005),https://galacticfigures.com/star-wars-figures.aspx?type=appearance&typeName=rots,https://galacticfigures.com/figureDetails.aspx?id=9037
d3c394d54cf4f87cccd3649fb6bb72c6,Commander Gree,Revenge Of The Sith,Revenge Of The Sith,4.0,No,14.0,7.99,2008.0,3.75,No,2008.0,USD,MOVIES,Revenge Of The Sith,(2005),https://galacticfigures.com/star-wars-figures.aspx?type=appearance&typeName=rots,https://galacticfigures.com/figureDetails.aspx?id=24765
a0c2e207f8e31e04b429135414c6e749,Commander Neyo,Revenge Of The Sith,Revenge Of The Sith,3.0,No,14.0,6.99,2008.0,3.75,No,2003.0,USD,MOVIES,Revenge Of The Sith,(2005),https://galacticfigures.com/star-wars-figures.aspx?type=appearance&typeName=rots,https://galacticfigures.com/figureDetails.aspx?id=21531
